payer,toc,outcome,spec,sample,overall_att,overall_se,n_na_cells,pretrend_p
mdcr,NF,spend_per_capita_mean,sens,all_cohorts,-34.8540850726462,26.0388143166356,0,0
mdcr,NF,spend_per_capita_mean,sens,c2014,-35.9805991400688,32.993215577433,0,0.35304
mdcr,NF,spend_per_vol_mean,main,all_cohorts,192.884274178781,77.5407123638661,0,0
mdcr,NF,spend_per_vol_mean,main,c2014,248.969653874667,93.2193633029472,0,0.26268
mdcr,NF,spend_per_vol_mean,sens,all_cohorts,-48.8890801724723,71.0267329232056,0,0
mdcr,NF,spend_per_vol_mean,sens,c2014,-43.1720299680305,90.1997450214046,0,0.08301
mdcr,NF,vol_per_bene_mean,main,all_cohorts,1.94998342790937,3.73800473736283,0,0
mdcr,NF,vol_per_bene_mean,main,c2014,2.99466113215727,4.28456319515129,0,0.04747
mdcr,NF,vol_per_bene_mean,sens,all_cohorts,-2.94304263515419,2.67514307435589,0,0
mdcr,NF,vol_per_bene_mean,sens,c2014,-3.14592515847483,3.04640847585817,0,0.36191
mdcr,NF,vol_per_capita_mean,main,all_cohorts,0.82436172755875,3.12035896431897,0,0
mdcr,NF,vol_per_capita_mean,main,c2014,1.66488629945122,3.42169952270294,0,0.17427
mdcr,NF,vol_per_capita_mean,sens,all_cohorts,-2.83540219424054,2.25439901855267,0,0
mdcr,NF,vol_per_capita_mean,sens,c2014,-2.9121750076958,2.80944613323499,0,0.61976
mdcr,RX,spend_per_bene_mean,main,all_cohorts,42.6838476458528,24.3756324617583,0,0
mdcr,RX,spend_per_bene_mean,main,c2014,59.6320233478979,26.002927056913,0,0.00825
mdcr,RX,spend_per_bene_mean,sens,all_cohorts,50.6859303589744,26.2280501223337,0,0
mdcr,RX,spend_per_bene_mean,sens,c2014,64.5083724853266,27.4973479376227,0,0.0033
mdcr,RX,spend_per_capita_mean,main,all_cohorts,-1.83560156643928,22.869269760362,0,0
mdcr,RX,spend_per_capita_mean,main,c2014,-6.71956852872541,27.0505410214924,0,0.00748
mdcr,RX,spend_per_capita_mean,sens,all_cohorts,34.7773142162226,16.6687308479747,0,0
mdcr,RX,spend_per_capita_mean,sens,c2014,36.5187008381805,20.013388483314,0,0.04318
mdcr,RX,spend_per_vol_mean,main,all_cohorts,0.0399120559871234,0.449210172647994,0,0
mdcr,RX,spend_per_vol_mean,main,c2014,0.235115807348208,0.553236390292169,0,0.49657
mdcr,RX,spend_per_vol_mean,sens,all_cohorts,0.696387476356325,0.390625261310405,0,0
mdcr,RX,spend_per_vol_mean,sens,c2014,0.9202554284518,0.424799041137858,0,0.37555
mdcr,RX,vol_per_bene_mean,main,all_cohorts,611.123605204291,335.069876813959,0,0
mdcr,RX,vol_per_bene_mean,main,c2014,777.207301575897,403.682988852433,0,0.00019
mdcr,RX,vol_per_bene_mean,sens,all_cohorts,637.213269581506,313.361707169549,0,0
mdcr,RX,vol_per_bene_mean,sens,c2014,794.835638317705,395.924854717668,0,0.00244
mdcr,RX,vol_per_capita_mean,main,all_cohorts,-153.621904867777,293.490602973419,0,0
mdcr,RX,vol_per_capita_mean,main,c2014,-288.494366449227,341.32886491516,0,0.0013
mdcr,RX,vol_per_capita_mean,sens,all_cohorts,283.405628521344,232.120061531397,0,0
mdcr,RX,vol_per_capita_mean,sens,c2014,265.440938402942,271.035786147962,0,0.05194
mdcr,Total,spend_per_bene_mean,main,all_cohorts,155.23263012359,110.665500450096,0,0
mdcr,Total,spend_per_bene_mean,main,c2014,181.434219467299,123.826770031943,0,0.31943
mdcr,Total,spend_per_bene_mean,sens,all_cohorts,-85.9333227870771,85.2613953327303,0,0
mdcr,Total,spend_per_bene_mean,sens,c2014,-111.431492019078,97.795066721989,0,0.20657
mdcr,Total,spend_per_capita_mean,main,all_cohorts,-20.5432458833569,69.8234482417537,0,0
mdcr,Total,spend_per_capita_mean,main,c2014,-24.3186503303354,77.7123858073293,0,0.2145
mdcr,Total,spend_per_capita_mean,sens,all_cohorts,-121.28101781929,59.0198871861172,0,0
mdcr,Total,spend_per_capita_mean,sens,c2014,-143.717873067623,67.2618776071031,0,0.18199
mdcr,Total,spend_per_vol_mean,main,all_cohorts,0.000444174523204357,0.00319023510305487,0,0
mdcr,Total,spend_per_vol_mean,main,c2014,0.00125309073784487,0.00334600267614253,0,0.00261
mdcr,Total,spend_per_vol_mean,sens,all_cohorts,-0.00517306207199366,0.00278737130717178,0,0
mdcr,Total,spend_per_vol_mean,sens,c2014,-0.00553969563734953,0.00301855283495282,0,0.06959
mdcr,Total,vol_per_bene_mean,main,all_cohorts,766.1599346569,405.644378715527,0,0
mdcr,Total,vol_per_bene_mean,main,c2014,956.481705843367,474.149270689903,0,0.00011
mdcr,Total,vol_per_bene_mean,sens,all_cohorts,439.333398317905,309.889088620517,0,0
mdcr,Total,vol_per_bene_mean,sens,c2014,524.935254375244,365.226784719092,0,0.00631
mdcr,Total,vol_per_capita_mean,main,all_cohorts,-246.794432015947,299.894205878325,0,0
mdcr,Total,vol_per_capita_mean,main,c2014,-381.39963866678,331.795187305018,0,0.00393
mdcr,Total,vol_per_capita_mean,sens,all_cohorts,27.4617439179994,242.477948957987,0,0
mdcr,Total,vol_per_capita_mean,sens,c2014,-41.4322462853863,280.658810839404,0,0.04174
oop,AM,spend_per_capita_mean,main,all_cohorts,-16.478435087398,27.2479575425071,0,0
oop,AM,spend_per_capita_mean,main,c2014,-16.9568654814402,29.8687306748124,0,0.00028
oop,AM,spend_per_capita_mean,sens,all_cohorts,-29.0168640270008,12.4197905491064,0,0
oop,AM,spend_per_capita_mean,sens,c2014,-31.9688584896747,15.270145109935,0,3e-05
oop,AM,spend_per_vol_mean,main,all_cohorts,2.35670990550528,2.29226832235465,0,0
oop,AM,spend_per_vol_mean,main,c2014,3.45304208111725,2.48917409496781,0,0.00042
oop,AM,spend_per_vol_mean,sens,all_cohorts,-2.84190260817488,1.81947357217532,0,0
oop,AM,spend_per_vol_mean,sens,c2014,-3.18786787078583,2.40669683959996,0,0.61027
oop,AM,vol_per_capita_mean,main,all_cohorts,-265.821658295163,234.745058073253,0,0
oop,AM,vol_per_capita_mean,main,c2014,-329.339127984069,345.434979323989,0,4e-05
oop,AM,vol_per_capita_mean,sens,all_cohorts,-181.170159854115,107.530955964708,0,0
oop,AM,vol_per_capita_mean,sens,c2014,-211.639209183057,122.935688387604,0,5e-05
oop,ED,spend_per_capita_mean,main,all_cohorts,-0.944051556848043,1.21978502059056,0,0
oop,ED,spend_per_capita_mean,main,c2014,-0.996725024905128,1.59297294214195,0,0.00063
oop,ED,spend_per_capita_mean,sens,all_cohorts,-1.50660299543817,0.625634752702233,0,0
oop,ED,spend_per_capita_mean,sens,c2014,-1.67352240340074,0.821211589237422,0,0
oop,ED,spend_per_vol_mean,main,all_cohorts,-5.08290393354138,2.36980013174771,0,0
oop,ED,spend_per_vol_mean,main,c2014,-5.39477660879837,2.59793174837284,0,0.02765
oop,ED,spend_per_vol_mean,sens,all_cohorts,-9.51521791647883,2.75424499248383,0,0
oop,ED,spend_per_vol_mean,sens,c2014,-10.4280128066675,3.2994977619894,0,0.36261
oop,ED,vol_per_capita_mean,main,all_cohorts,3.83058250623663,12.282508692157,0,0
oop,ED,vol_per_capita_mean,main,c2014,-4.30300244187924,18.1723491968363,0,0.04303
oop,ED,vol_per_capita_mean,sens,all_cohorts,9.08909936946545,7.5807939223627,0,0
oop,ED,vol_per_capita_mean,sens,c2014,2.76032451751865,7.90750641877087,0,0.0059
oop,IP,spend_per_capita_mean,main,all_cohorts,-4.84002960034345,6.71131567648258,0,0
oop,IP,spend_per_capita_mean,main,c2014,-4.99378279618163,8.51580368178026,0,0.00416
oop,IP,spend_per_capita_mean,sens,all_cohorts,-7.50082945688558,3.75859655234944,0,0
oop,IP,spend_per_capita_mean,sens,c2014,-8.19532306580168,4.47737158450375,0,3e-05
oop,IP,spend_per_vol_mean,main,all_cohorts,35.5476939117652,24.1226886468566,0,0.00098
oop,IP,spend_per_vol_mean,main,c2014,46.9851317529726,29.9124772426658,0,0.03059
oop,IP,spend_per_vol_mean,sens,all_cohorts,-20.2102450392904,14.4041522594006,0,0
