payer,toc,outcome,pct,pct_se,p,q,pre_p
oop,AM,vol_per_capita,-7.63922322967338,8.0302354200921,0.341448297795284,0.831867265555022,3e-05
oop,ED,vol_per_capita,-2.22690573586133,6.93368604723833,0.74808005845113,0.916516357625646,0.03694
oop,IP,vol_per_capita,-17.3775091464378,11.8870251445612,0.143771679492407,0.683751651144357,0.30273
oop,NF,vol_per_capita,4.15299024670211,4.45813969599897,0.351567948864394,0.831867265555022,0.24323
oop,RX,vol_per_capita,-6.12972534985731,13.6082621505039,0.652392162161125,0.898371272362424,0.08022
priv,AM,vol_per_capita,1.30759531608346,2.91160317694094,0.65336092535449,0.898371272362424,0.00675
priv,ED,vol_per_capita,0.572999199276539,3.66879409752496,0.875889650574157,0.944268074767667,0.0917
priv,IP,vol_per_capita,0.684131422019297,3.27727532910468,0.834643358590016,0.931413603064221,0.20592
priv,NF,vol_per_capita,2.68497283214721,6.23864482919191,0.666921005252016,0.900928375515881,0.04369
priv,RX,vol_per_capita,-0.788997815531193,3.61208805139505,0.827092060903248,0.931413603064221,0.03113
mdcd,AM,spend_per_bene,0.0347693531324684,6.15595071020192,0.995493501513996,0.995493501513996,0.6032
mdcd,ED,spend_per_bene,-2.03998085941661,7.81341690336197,0.794025487615088,0.916516357625646,0.50632
mdcd,IP,spend_per_bene,4.41639330138391,4.93764413497528,0.37109010615841,0.831867265555022,0.34958
mdcd,NF,spend_per_bene,-14.3670506613845,9.72833855586152,0.139722633959594,0.683751651144357,0.18139
mdcd,RX,spend_per_bene,-22.5154941103113,18.0460874894082,0.212153309800873,0.781875117542416,0.3164
mdcd,Total,spend_per_bene,-3.30124957870562,4.43994284320874,0.457158292584584,0.854621730093727,0.32483
mdcr,AM,spend_per_bene,0.931730286289503,0.843115349059894,0.269114454811394,0.831867265555022,0.38269
mdcr,ED,spend_per_bene,3.79979060426391,2.70329121539247,0.15983804831946,0.683751651144357,0.92246
mdcr,IP,spend_per_bene,0.773517137429348,0.94705320352308,0.414064410609683,0.839025253077516,0.44832
mdcr,NF,spend_per_bene,4.05483625640684,4.9206495218345,0.409914033113454,0.839025253077516,0.23593
mdcr,RX,spend_per_bene,3.17026356354436,1.35561982882075,0.0193557232544493,0.248398448432099,0.58624
mdcr,Total,spend_per_bene,1.46239032675989,0.81348427939202,0.0722265811583235,0.585108013370148,0.85527
priv,AM,spend_per_bene,5.31289060881134,3.00558905934181,0.0771160326512173,0.585108013370148,0.31115
priv,ED,spend_per_bene,3.16648618259841,2.24690217706641,0.158756089136503,0.683751651144357,0.15414
priv,IP,spend_per_bene,3.95307608427799,3.59607640275723,0.271648230928604,0.831867265555022,0.26533
priv,NF,spend_per_bene,7.34382747998801,7.34572990799394,0.317435857283067,0.831867265555022,0.47312
priv,RX,spend_per_bene,4.16066110673883,4.67131721227796,0.37309945521548,0.831867265555022,0.07291
priv,Total,spend_per_bene,4.78238149011602,2.81331238540788,0.0891476127042243,0.585108013370148,0.28014
mdcd,AM,vol_per_bene,-4.3928311381598,9.24918326686537,0.634827887344838,0.898371272362424,0.49507
mdcd,ED,vol_per_bene,-5.54228266057193,6.41848548652042,0.387869431459116,0.831867265555022,0.23748
mdcd,IP,vol_per_bene,3.40806983232285,7.04564879473368,0.62858977571673,0.898371272362424,0.27315
mdcd,NF,vol_per_bene,-10.4330294308438,9.95962599717259,0.294854166064299,0.831867265555022,0.17284
mdcd,RX,vol_per_bene,-37.7573654988796,23.1280170819121,0.10256621151673,0.60750756052217,0.2463
mdcr,AM,vol_per_bene,1.11436397571449,1.00385259699807,0.266961427892,0.831867265555022,0.31779
mdcr,ED,vol_per_bene,2.09235339431149,1.63265738244779,0.199995964798304,0.781875117542416,0.91212
mdcr,IP,vol_per_bene,1.4908307286382,0.882578566842249,0.0911856644213217,0.585108013370148,0.61991
mdcr,NF,vol_per_bene,3.20141305666801,4.36327053028608,0.463120216443689,0.854621730093727,0.10282
mdcr,RX,vol_per_bene,2.11484423252218,1.20140587163076,0.0783556174684516,0.585108013370148,0.01117
priv,AM,vol_per_bene,4.38212474998215,2.99383920595163,0.143272072991581,0.683751651144357,0.00993
priv,ED,vol_per_bene,3.75812106741984,3.28154770857491,0.252114627998965,0.831867265555022,0.10288
priv,IP,vol_per_bene,3.08983651654494,3.30479463235276,0.349811139737655,0.831867265555022,0.33545
priv,NF,vol_per_bene,5.54832149523186,6.43979073102318,0.388924955324426,0.831867265555022,0.05313
priv,RX,vol_per_bene,2.23280716554024,3.11355938644314,0.473297785550595,0.854621730093727,0.06774
