location_name,year_id,poverty_rate,median_hh_income,uninsured_rate,prop_under18,prop_over65
District of Columbia,2015,17.3190162798753,75628,3.7809415119528,0.175294691681989,0.113936045508369
District of Columbia,2016,18.5759680323136,75506,3.92646631444816,0.177315501269874,0.116119324104115
District of Columbia,2017,16.6383608671565,82372,3.80384552388975,0.179543266875321,0.12103081968725
District of Columbia,2018,16.150970582828,85203,3.16057487042033,0.18109914514097,0.121895352727221
District of Columbia,2019,13.4514836391839,92266,3.51794935106137,0.181227320194573,0.12403418212424
Florida,2010,13.8198388925771,47661,,0.216787617723354,0.169304739401522
Florida,2011,14.6555361022345,47827,,0.214344194730241,0.171570953213817
Florida,2012,17.1240428079259,45040,20.0716740299205,0.207115771509126,0.181639169071386
Florida,2013,17.0064898235489,46036,20.0204602442998,0.206043003427632,0.186381071618167
Florida,2014,16.4950198277266,47463,16.5710148673693,0.203788391637646,0.190564389603191
Florida,2015,15.7021537573651,49426,13.3343009270112,0.20240412145819,0.194621876713015
Florida,2016,14.7266684898904,50860,12.5366460503864,0.201098957770112,0.198460939047533
Florida,2017,14.0472398531448,52594,12.9415605542785,0.200185852347458,0.200874554430911
Florida,2018,13.6044844114859,55462,12.9952566695182,0.198498074469496,0.204644231683398
Florida,2019,12.6599205924647,59227,13.1605533358826,0.197039148025697,0.209435379528113
Georgia,2010,15.7065129003987,49347,,0.260061897924925,0.102584219883903
Georgia,2011,16.5096276582869,49736,,0.258179270238189,0.104796340066654
Georgia,2012,19.1506305661192,47209,18.4406133252313,0.251588794091096,0.114855072281147
Georgia,2013,18.9670230597658,47829,18.8381418947081,0.249233324463052,0.1191706463673
Georgia,2014,18.3020643924144,49321,15.8312336136571,0.246740256322876,0.12368303225908
Georgia,2015,17.0467995790064,51244,13.8506808022621,0.244977806842189,0.127535668623946
Georgia,2016,15.9659453032863,53559,12.9394371268324,0.243503361809192,0.131822026578869
Georgia,2017,14.945739170065,56183,13.4273629671319,0.241123177132598,0.13441356383731
Georgia,2018,14.344086891075,58756,13.6544628434871,0.237967484118742,0.138450635606815
Georgia,2019,13.2969362855519,61980,13.4142776696353,0.235747318346458,0.143461553712233
Hawaii,2010,9.59467803202358,66420,,0.225502421657015,0.139772988869901
Hawaii,2011,10.2437704380703,67116,,0.224369018992183,0.141862858823337
Hawaii,2012,11.589066215023,66259,6.88212338303118,0.217538010490457,0.151131965298033
Hawaii,2013,10.8482943885258,68020,6.74674092752727,0.218813521417267,0.156766050308606
Hawaii,2014,11.3587871900647,69592,5.2721583307135,0.217217858197006,0.160656005624274
Hawaii,2015,10.6148605465379,73486,3.96571209152751,0.217382891765385,0.165655562331177
Hawaii,2016,9.3252543107233,74511,3.53027786441145,0.215437675920527,0.170480421852261
Hawaii,2017,9.54585718915415,77765,3.84699410574701,0.214352962933386,0.177753586944796
Hawaii,2018,8.83526903001053,80212,4.07723800901539,0.213486041094241,0.184068044077717
Hawaii,2019,9.33391729836891,83102,4.15679520723625,0.212015634181621,0.190320876463409
Idaho,2010,13.5760777398617,46423,,0.274569572772281,0.11986400287661
Idaho,2011,14.2675452744113,46890,,0.27344358372038,0.122325542085192
Idaho,2012,15.8730280400457,45489,16.1671580940824,0.26618070247561,0.132248102433497
Idaho,2013,15.5757335693542,46783,16.1713056127102,0.26477542837577,0.138390309502424
Idaho,2014,14.8452076405277,47861,13.5599535987907,0.263857142157918,0.14376517316992
Idaho,2015,15.1376966875365,48275,11.0488792443791,0.261147601409123,0.146993528427184
Idaho,2016,14.3680351835178,51807,10.1096479754544,0.259311168411422,0.152192925128035
Idaho,2017,12.8259800971366,52225,10.146625351787,0.258182711947921,0.152942759311171
Idaho,2018,11.7960437662565,55583,11.11172644224,0.253886654262208,0.159297529141356
Idaho,2019,11.1738901881814,60999,10.8331241632014,0.251448604275726,0.161503358859359
Illinois,2010,12.6370611016207,55735,,0.247420178592066,0.123040865306344
Illinois,2011,13.1370623726728,56576,,0.245155151036944,0.124499870291134
Illinois,2012,14.7177484134314,55137,12.7769538313221,0.237902161937764,0.131703177917641
Illinois,2013,14.6731331321144,56210,12.7371342825316,0.234600475775172,0.135077609418004
Illinois,2014,14.353776787629,57444,9.74561249994391,0.231723571454081,0.138802289958993
Illinois,2015,13.5615954301082,59588,7.10014937073438,0.23018554828365,0.142163741121206
